name,brewery_type,address,state,phone,website_url,country,region,division
10-56 Brewing Company,micro,400 Brown Cir Knox Indiana 46534,Indiana,6308165790,Not Available,United States,Midwest,East North Central
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St Bend Oregon 97701,Oregon,5415851007,Not Available,United States,West,Pacific
10 Barrel Brewing Co - Boise,large,826 W Bannock St Boise Idaho 83702-5857,Idaho,2083445870,http://www.10barrel.com,United States,West,Mountain
10 Barrel Brewing Co - Denver,large,2620 Walnut St Denver Colorado 80205-2231,Colorado,7205738992,Not Available,United States,West,Mountain
10 Barrel Brewing Co,large,1411 NW Flanders St Portland Oregon 97209-2620,Oregon,5032241700,http://www.10barrel.com,United States,West,Pacific
10 Barrel Brewing Co,large,1501 E St San Diego California 92101-6618,California,6195782311,http://10barrel.com,United States,West,Pacific
10 Torr Distilling and Brewing,micro,490 Mill St Reno Nevada 89502,Nevada,7755307014,http://www.10torr.com,United States,West,Mountain
105 West Brewing Co,micro,1043 Park St Castle Rock Colorado 80109-1585,Colorado,3033257321,http://www.105westbrewing.com,United States,West,Mountain
10K Brewing,micro,2005 2nd Ave Anoka Minnesota 55303-2243,Minnesota,7633924753,http://10KBrew.com,United States,Midwest,West North Central
10th District Brewing Company,micro,491 Washington St Abington Massachusetts 02351-2419,Massachusetts,7813071554,http://www.10thdistrictbrewing.com,United States,Northeast,New England
11 Below Brewing Company,micro,6820 Bourgeois Rd Houston Texas 77066-3107,Texas,2814442337,http://www.11belowbrewing.com,United States,South,West South Central
1188 Brewing Co,brewpub,141 E Main St John Day Oregon 97845-1210,Oregon,5415751188,http://www.1188brewing.com,United States,West,Pacific
12 West Brewing Company - Production Facility,micro,Not Available Mesa Arizona 85207,Arizona,Not Available,Not Available,United States,West,Mountain
122 West Brewing Co,closed,2416 Meridian St Bellingham Washington 98225-2405,Washington,3603063285,https://www.122westbrew.com/,United States,West,Pacific
127 Brewing,micro,3090 Shirley Dr Jackson Michigan 49201-7010,Michigan,5172581346,Not Available,United States,Midwest,East North Central
12Degree Brewing,brewpub,820 Main St Louisville Colorado 80027-1865,Colorado,3035791004,http://www.12degree.com,United States,West,Mountain
13 Below Brewery,micro,7391 Forbes Rd Cincinnati Ohio 45233-1013,Ohio,5139750613,http://www.13belowbrewery.com,United States,Midwest,East North Central
13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave Portland Oregon 97202-5518,Oregon,5032393831,http://www.13virtuesbrewing.com,United States,West,Pacific
14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907 Westlake Village California 91362-3974,California,8186996165,http://14cannons.com,United States,West,Pacific
14er Brewing Company,proprietor,2801 Walnut St Denver Colorado 80205-2235,Colorado,7207731437,http://www.14erBrewing.com,United States,West,Mountain
16 Lots Brewing,brewpub,753 Reading Rd Mason Ohio 45040-1303,Ohio,5134863672,http://www.16lots.com,United States,Midwest,East North Central
16 Mile Brewing Co,micro,413 S Bedford St Georgetown Delaware 19947-1849,Delaware,3022538816,http://www.16milebrewery.com,United States,South,South Atlantic
16 Stone Brewpub,brewpub,9542 Main St Holland Patent New York 13354,New York,3158658500,http://www.16stonebrewpub.com,United States,Northeast,Middle Atlantic
1718 Ocracoke Brewing,brewpub,1129 Irvin Garrish Hwy Ocracoke North Carolina 27960,North Carolina,2529282337,http://www.ocracokebrewing.com,United States,South,South Atlantic
180 and Tapped,micro,2010 A State Ave Coraopolis Pennsylvania 15108,Pennsylvania,4127375273,http://www.180andtapped.com,United States,Northeast,Middle Atlantic
1817 Brewery,micro,100 B South Olive St okolona Mississippi 38860,Mississippi,6623055907,Not Available,United States,South,East South Central
1840 Brewing Company,micro,342 E Ward St Milwaukee Wisconsin 53207-1348,Wisconsin,4142364056,http://www.1840brewing.com,United States,Midwest,East North Central
1850 Brewing Company,micro,Not Available Mariposa California 95338,California,Not Available,http://www.1850restaurant.com,United States,West,Pacific
18th Street Brewery,micro,5725 Miller Ave Gary Indiana 46403-2871,Indiana,Not Available,http://www.18thstreetbrewery.com,United States,Midwest,East North Central
18th Street Brewery,micro,5417 Oakley Ave Hammond Indiana 46320-1817,Indiana,Not Available,Not Available,United States,Midwest,East North Central
1905 Brewing Company,micro,1301 S Chestnut St Assumption Illinois 62510-8504,Illinois,2172549374,http://1905BrewingCompany.com,United States,Midwest,East North Central
1912 Brewing,micro,2045 N Forbes Blvd Ste 105 Tucson Arizona 85745-1444,Arizona,5202564851,http://www.1912brewing.com,United States,West,Mountain
192 Brewing,micro,7324 NE 175th St Kenmore Washington 98028-2500,Washington,4254242337,http://www.192brewing.com,United States,West,Pacific
2 Basset Brewery,micro,202 E Main St White Sulphur Springs Montana 59645-9081,Montana,4065472337,http://www.2bassetbrewery.com,United States,West,Mountain
2 Dogz and A Guy Brewing,micro,228 Church St Montrose Pennsylvania 18801-1271,Pennsylvania,5704320069,http://2dogzandaguybrewing.com,United States,Northeast,Middle Atlantic
2 Feet Brewing Company,brewpub,80 Columbia St Bangor Maine 04401-6319,Maine,2075731979,http://www.2feetbrewing.com,United States,Northeast,New England
2 Row Brewing,micro,6856 S 300 W Midvale Utah 84047-1083,Utah,8019878663,http://www.2rowbrewing.com,United States,West,Mountain
2 Tones Brewing Co.,micro,4539 E Broad St Whitehall Ohio 43213-1308,Ohio,Not Available,http://www.2tonesbrewingco.com,United States,Midwest,East North Central
2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz Santa Rosa California 95401-6399,California,4152330857,http://www.2treadbrewing.com,United States,West,Pacific
2 Way Brewing Company,brewpub,18 W Main St Beacon New York 12508-2512,New York,8452027334,http://www.2waybrewingcompany.com,United States,Northeast,Middle Atlantic
2 Witches Winery and Brewing Company,micro,209 Trade St Danville Virginia 24541-3545,Virginia,4345492739,http://www.2witcheswinebrew.com,United States,South,South Atlantic
210 Brewing Co,brewpub,3438 Stoluckquamish Ln Arlington Washington 98223-9056,Washington,3604749740,http://www.angelofthewind.com,United States,West,Pacific
217 Brew Works,micro,217 South St S Wilson North Carolina 27893-4911,North Carolina,2529916959,Not Available,United States,South,South Atlantic
21st Amendment Brewery Cafe,brewpub,563 2nd St San Francisco California 94107-1411,California,4153690900,http://www.21st-amendment.com,United States,West,Pacific
21st St Brewers Bar,brewpub,2017 Chouteau Ave Saint Louis Missouri 63103,Missouri,3142416969,http://www.21stbrew.com,United States,Midwest,West North Central
23rd Street Brewery,brewpub,3512 Clinton Pkwy Lawrence Kansas 66047-2145,Kansas,7858562337,http://www.brew23.com,United States,Midwest,West North Central
26 Degree Brewing Company,micro,2600 E Atlantic Blvd Pompano Beach Florida 33062-4940,Florida,9545326964,Not Available,United States,South,South Atlantic
2C Family Brewing Co.,micro,1215 1st St S Nampa Idaho 83651-3957,Idaho,2084753981,Not Available,United States,West,Mountain
2Kids Brewing Company,micro,8680 Miralani Dr Ste 123 San Diego California 92126-6391,California,8584805437,http://www.2kidsBrewing.com,United States,West,Pacific
2nd Shift Brewing Co,brewpub,1601 Sublette Ave Saint Louis Missouri 63110-1924,Missouri,6187910728,http://www.2ndshiftbrewing.com,United States,Midwest,West North Central
3 Beards Beer Company,contract,4 Main St Williamsburg Massachusetts 1096,Massachusetts,6173837039,http://www.3beardsbeer.com,United States,Northeast,New England
3 Daughters Brewing,micro,222 22nd St S Saint Petersburg Florida 33712-1240,Florida,7274956002,http://www.3dbrewing.com,United States,South,South Atlantic
3 Disciples Brewing,micro,Not Available Sebastopol California 95472-5937,California,7072287309,http://www.3disciplesbrewing.com/home,United States,West,Pacific
3 Freaks Brewing Co,micro,7140 E County Line Rd Highlands Ranch Colorado 80126-3926,Colorado,7202990994,http://www.3freaksbrewery.com,United States,West,Mountain
"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E Bradenton Florida 34208-2421,Florida,9412180396,http://www.3keysbrewing.com,United States,South,South Atlantic
3 Nations Brewing,micro,2405 Squire Pl Ste 200 Farmers Branch Texas 75234-4714,Texas,4696607184,http://www.threenationsbrewing.com,United States,South,West South Central
3 Sheeps Brewing Co,micro,1837 North Ave Sheboygan Wisconsin 53083-4620,Wisconsin,9209469715,http://www.3sheepsbrewing.com,United States,Midwest,East North Central
3 Sons Brewing Co.,proprietor,236 N Federal Hwy Dania Florida 33004-2870,Florida,9546013833,http://www.3sonsbrewingco.com,United States,South,South Atlantic
3 Trails Brewing Co,micro,111 N Main St  Independence Missouri 64050,Missouri,8168866256,http://www.3trailsbrewing.com,United States,Midwest,West North Central
34 Degree North Experiment Station,micro,4802 Main St Shallotte North Carolina 28470,North Carolina,Not Available,Not Available,United States,South,South Atlantic
350 Brewing Co,brewpub,7144 183rd St Tinley Park Illinois 60477-3933,Illinois,7088257339,http://www.350brewing.com,United States,Midwest,East North Central
38Â°-75Â° Brewing,brewpub,2000 Coastal Highway STE 105 Rehoboth Beach Delaware 19971,Delaware,3022278519,Not Available,United States,South,South Atlantic
3cross Fermentation Cooperative,micro,4 Knowlton Ave Worcester Massachusetts 1603,Massachusetts,5086158195,http://www.3cross.coop,United States,Northeast,New England
3Halves Brewing Co,brewpub,110 E Kansas St Liberty Missouri 64068-2374,Missouri,8164296886,http://www.3halvesbrewingco.com,United States,Midwest,West North Central
3rd Degree Brewhouse,micro,1625 N Main St Fuquay Varina North Carolina 27526,North Carolina,9192015457,http://www.facebook.com/3rddegreebrewhouse/,United States,South,South Atlantic
3rd Rock Brewing Company,micro,134 Industrial Park Dr Trenton North Carolina 28585-9593,North Carolina,2526319213,http://www.3rockbrew.com,United States,South,South Atlantic
3rd Turn Brewing,micro,10408 Watterson Trl Louisville Kentucky 40299-3702,Kentucky,Not Available,http://www.3rdturnbrewing.com,United States,South,East South Central
4 By 4 Brewing Company,micro,2811 E Galloway St Ste A Springfield Missouri 65804-4601,Missouri,4178616400,http://www.4by4brewingcompany.com,United States,Midwest,West North Central
4 Hands Brewing Co,regional,1220 S 8th St Saint Louis Missouri 63104-3610,Missouri,3144361559,http://www.4handsbrewery.com,United States,Midwest,West North Central
(405) Brewing Co,micro,1716 Topeka St Norman Oklahoma 73069-8224,Oklahoma,4058160490,http://www.405brewing.com,United States,South,West South Central
411 Broadway Ales,planning,Not Available Fresno California 93721-2801,California,5412706076,Not Available,United States,West,Pacific
42 North Brewing Company,brewpub,25 Pine St East Aurora New York 14052-1827,New York,7168057500,http://www.42northbrewing.com,United States,Northeast,Middle Atlantic
